idx	label	source	gap_s	call	side	t	text
138	complete	change	0.256	ta_IN_10264659_20230328	Left	496.0	அப்டி எல்லான் இப்போதைக்கு நாங்க தான் full அ பார்த்துக்குறோம one month முடியட்டும் இடம் எப்டி salary எப்டி அப்டிங்கறட்து one month full அ தெரிஞ்சுக்கனும் இல்லயா அவங்களயும் கூப்டு வந்து உக்கார வச்சுட்டு ஒன்னும் பண்ண முடியாது லா
139	incomplete	hold_intra	1.152	ta_IN_9829545_20230112	Right	464.992	படிக்கும் போது
140	complete	change	0.608	ta_IN_10219354_20230117	Right	759.456	ஏன் அவங்க உங்கிட்ட பேசுறதில்ல?
141	incomplete	hold_intra	1.76	ta_IN_10102663_20230123	Right	476.128	இதுல வந்து நெறையா விஷயம் திட்டம் போட்டு போய்கிட்டு இருக்கா அதுல இதுவும் ஒரு முக்கியமான விஷயம் இத sentiment ஆஹ் வந்து இத மூனா number seat டு வந்து எனக்கு ரொம்பவும்மே பிடிச்ச seat இதுல பயணம் பண்ணி போறதுல நா நெனச்ச ஒரு விஷயம் வந்து நல்ல படியா நடக்கும்
142	incomplete	hold_intra	1.28	ta_IN_10255843_20230117	Left	670.272	ஆஹ் காத்து அடிக்குற
143	incomplete	hold_intra	0.224	ta_IN_9829446_20230331	Right	580.32	சரி பா கோச்சிக்காதபா college படிக்குற
144	complete	change	1.152	ta_IN_10219354_20230117	Right	212.192	எழுநூறு ரூபாயில இருந்து எண்ணூறு ரூபாய்க்குள்ள charge பண்ணிட்டிருக்கேன்
145	incomplete	hold_intra	0.32	ta_IN_10246891_20230117	Right	127.744	இது மாறி business பண்ணாங்கள அவங்களோட ஆளு வந்துட்டு பொய்யா இவ கூடவே ஒரு பொம்ம ஒரு rubber வந்து வைத்துல வச்சிட்டு அந்த மாறி நடிச்சிட்டு இருப்பா. அப்றம் கண்டுபிடிச்சிட்டு சமந்தாவுக்கும் தெரிஞ்சிருச்சின்னு சொல்லி சமைந்தா வந்து அவன கொன்றுவா
146	incomplete	hold_intra	0.8	ta_IN_10264720_20230331	Right	920.32	வேற level நெனைக்கிறன் வேற level நு
147	complete	change	0.544	ta_IN_10103136_20230123	Left	78.752	okay mam அப்ப ஒன்னும் பிரச்சனை இல்ல eighteen கீழன்னா joint account தான் தர முடியும்.
148	incomplete	hold_intra	0.928	ta_IN_9829387_20230117	Right	1276.512	அதாவுது சின்னச்சின்ன கடையில் இருந்து அதில் Use பண்ணுவார்களா
149	incomplete	hold_intra	0.704	ta_IN_10103171_20230117	Left	606.4	இல்ல இல்ல sir இது வந்து நல்ல speed இருக்கும் இது ஒன்னும் உங்கள்ளுக்கு வந்து எந்த issue யும் வராது
150	complete	change	1.312	ta_IN_10255808_20230117	Right	2.464	Hi அக்கா, என்ன பண்றீங்க?
151	incomplete	hold_intra	0.256	ta_IN_10255852_20230117	Right	817.824	இருக்கு அப்புறம் சர்மம் வந்து நல்லவ நல்ல அழகா தெரிய அழகா இருக்கணும் போலிவுடயதாக இருக்கனும் ரொம்ப மென்மையானத இருக்கணும் ன்னு நெனச்சு
152	incomplete	hold_intra	0.576	ta_IN_9829881_20230404	Right	409.184	உங்களோட invoices குடுத்த போதும்
153	incomplete	hold_intra	0.352	ta_IN_10264611_20230117	Left	1701.216	இப்ப நம்ம லாம் அப்படிதான நா லாம்
154	complete	change	0.128	ta_IN_10246891_20230117	Left	1052.352	இருக்குற shawarma உனக்கு எல்லாம் best easy.
155	complete	change	1.12	ta_IN_9829706_20230404	Left	250.304	அதனாலதான் இப்போ apache bike, ஆ apache பத்தி சொல்லுங்க அப்படினேன்,
156	complete	change	0.416	ta_IN_9829759_20230117	Right	314.816	பச்ச மாங்கான்னா, குண்டு மாங்காவா கிளி மூக்கு மாங்காவா?
157	incomplete	hold_intra	0.48	ta_IN_10102978_20230112	Left	563.584	நீங்க book பண்ணிரனும் sir. prior ஆவே book பண்ணிட்டு, full amount உமே இப்ப நீங்க pay பண்ற மாதிரிதான் இருக்கும். இப்படி பண்ணிட்டு, நீங்க போகும்போது, வ~ resort ல வந்து
158	incomplete	hold_intra	0.224	ta_IN_9829665_20230404	Right	662.592	வெச்சிக்கோ ஆஹ் அப்புடிகமொடு நீ வாங்கிக்க தொகை வந்து ஒரு அஞ்சி லட்சம் அப்புடிகமொடு அதுக்காக வந்து amount ஆஹ் வந்து ஆஹ் for example எந்தவித அஞ்சாயிரம் கேட்டரான்னு fix பண்றே எந்த ஒரு bank குமே நீங்க
159	incomplete	hold_intra	0.32	ta_IN_10255852_20230117	Left	386.816	இருந்தது எல்லருடையும் சேர்ந்து பேசுற இவர்கள் எல்லாரோடையும் சேர்ந்து மகிழ்ச்சியாக இருப்பது இந்த முன்னாடி திண்ணை அப்டின்னு சொல்லுவாங்க பாத்தேங்களா முன்னாடி கொஞ்சம் இடம் இருக்கும் அந்த எடத்துல எல்லாரும் பக்கது அக்கத்து வீடுகள் எல்லாம் ஊர்கள் ல உள்ள மக்கள் எல்லாம் ஒண்ணா சேந்து பேசுவாங்க மகிழ்ச்சியா இருப்பாங்க அந்த பழக்க வழக்கம் எல்லாம் இப்ப நெறையாவே மாறிருச்சு அந்த மாறியான பழக்க வழக்கம் இருக்கும் போது எல்லாமே மகிழ்ச்சி தானா இல்லையா நம்ம கொஞ்சம் ஓய்வாக இருக்கும்
160	incomplete	hold_intra	0.928	ta_IN_10264611_20230117	Left	1073.728	வெளில பாக்குறவங்களுக்கு ரெண்டு பேரும் பாக்குறதில்லங்கற மாறி இருக்கும். நம்ம
161	incomplete	hold_intra	0.416	ta_IN_9829768_20230112	Left	755.2	இதை வந்து முப்பது வயசுக்கு மேலே உள்ளவங்களுக்குத்தான் பெரும்பாலும் நாங்க வந்து provide பண்றோம். ஏன்னா, young age ல உங்களுக்கு வந்து நாங்க இதை வந்து provide பண்றது இல்லை. ஏன்னா, young age ல உங்களுக்கு வந்து ஒரு young age லயே அவங்களுக்கு வந்து, அவங்க money ய வந்து கைக்கு கொடுக்கணுங்கிறதுக்காண்டி அவங்களை பெரும்பாலும் நாங்க வந்து term insurance ஆல தான் அவங்க வந்து invest பண்ணணும்னு சொல்ல, சொல்றோம்.
162	incomplete	hold_intra	1.536	ta_IN_10102714_20230112	Left	527.808	பாருங்க. Okay வா இருந்துச்சுன்னா விட்ருங்க, அப்படி இல்லை, அப்படின்னாக்கா வந்துட்டு, அ, நீங்க வந்துட்டு, lunch எடுத்திட்டு, சாப்பிடறதுக்கு முன்னாடி, one
163	incomplete	hold_intra	0.8	ta_IN_10102739_20230329	Right	671.2	okay mam okay. அப்போ நான்.
164	complete	change	0.384	ta_IN_10102479_20230329	Right	205.344	பாப்பீங்களா mam
165	incomplete	hold_intra	0.448	ta_IN_9829768_20230112	Left	1307.872	பண்ணுவாங்கன்னா, உம் காசெல்லாம் வாங்கிட்டு, அஹ் final கட்டத்துல காசு, returns வர நேரத்துல வந்து, ஆளு காணாம போயிடுறாங்க.
166	incomplete	hold_intra	0.864	ta_IN_10246900_20230328	Right	1464.128	படம் நானும் என் தங்கச்சியும் download பண்ணி பார்த்துட்டு இருந்தோம் பேய்
167	incomplete	hold_intra	0.8	ta_IN_10219356_20230123	Right	212.832	அந்த மாதிரி,
168	incomplete	hold_intra	0.256	ta_IN_10102828_20230328	Left	818.752	bargain பண்றதுனால எங்களுக்கு ஒன்னும் problem இல்ல mam. கொறைக்குறதுனா கொறைச்சுக்கலாம் problem இல்ல. But
169	incomplete	hold_intra	0.352	ta_IN_10246900_20230328	Right	1489.504	சேரி நா நா
170	complete	change	1.152	ta_IN_10264659_20230328	Right	1641.44	call பன்ணி சொன்னா இந்த மாதிரி marriage னு எப்போன்னு சொல்லல எனக்கு அவ சொல்லல அவளோட friend சொன்னா அவளா சொல்லட்டும் சொல்ற வர wait பண்ணுவோம்
171	incomplete	hold_intra	0.256	ta_IN_9829411_20230404	Right	763.744	ஆஹ் but nighties ல நீங்க for example ந ஒரு சொல்லறேன் கேட்டுக்கோங்க இப்போ நீங்க double XL type எடுக்குறீங்க வெச்சுக்கோங்க double XL type
172	incomplete	hold_intra	0.992	ta_IN_10246900_20230328	Left	974.976	ஆஹ் சேரி சேரி
173	incomplete	hold_intra	1.12	ta_IN_10264611_20230117	Right	806.24	எந்திரிச்சிருவோம்
174	complete	change	0.64	ta_IN_9829878_20230404	Right	7.552	ம் நாத சொல்லுக ம என்ன வேணும்
175	complete	change	0.928	ta_IN_9829706_20230404	Right	295.392	எவ்வளவு RPM வருதுங்க இதுல நெறையா one eighty, two hundredனு வந்திருக்கும்.
176	complete	change	0.736	ta_IN_9829836_20230331	Right	920.0	baby இல்ல mam அவங்களுக்கு branded t-shirt ல பார்க்குறீங்களா mam so இந்த மாதிரி இந்த மாதிரி normal user க்கு மாதிரி பார்க்குறீங்களா? இல்ல outer use க்கு பார்க்குறீங்களா? இல்ல daily wears க்கு பார்க்குறீங்களா?
177	incomplete	hold_intra	0.96	ta_IN_10102927_20230328	Left	666.784	okay வா sir உங்களுக்கு
178	incomplete	hold_intra	0.416	ta_IN_10264671_20230404	Left	274.24	claim பண்ணிக்க முடியும் ஆஹ் lakhs cover போடுறீங்கனா நீங்க கட்ட வேண்டிய amount five lakhs லான் கிடையாது நீங்க
179	complete	change	0.128	ta_IN_10264642_20230117	Right	339.456	உம் அதான் குழந்தைகள் நாளே நம்மள அப்படியே observe பண்ணி பண்றது தானே.
180	complete	change	0.448	ta_IN_9829502_20230117	Right	504.16	அஹ் அப்பறம் function லாம் எதாவது உண்டா?
181	complete	change	0.48	ta_IN_10102828_20230328	Right	87.776	ஆ Okay sir. நாங்க பண்றது வந்து first birthday என் பையனோட first birthday. so, next week twenty eighth வச்சிருக்கோம் evening.
182	incomplete	hold_intra	0.288	ta_IN_9829768_20230112	Left	123.616	ஆஹ் எந்த மாதிரி insurance வந்து, நீங்க
183	complete	change	0.672	ta_IN_9829374_20230404	Right	141.664	ஆஹ் சரி இவ்வளவு தூரம் சொல்லுகிறீர்கள் சரி Okay நீங்கள் சொல்லுங்கள்
184	complete	change	0.192	ta_IN_10255807_20230331	Right	1072.0	ஆத்தாடி ஒன்ற வயசு குழந்தைக்கு
185	complete	change	1.248	ta_IN_10219356_20230123	Right	164.256	இவரும் உடுத்தியிருக்காப்புடி மத்தவங்களையும், ரொம்ப ஒரு ஒரு அஹ் உடுத்துங்க அப்படின்னு சொல்லி வலியுறுத்திருக்காப்டி.
186	complete	change	0.064	ta_IN_10102739_20230329	Right	607.072	office இந்த மாதிரி maintain பண்ணறவங்க எல்லாம் postpaid வச்சுகிட்டா நல்லதா mam?
187	incomplete	hold_intra	0.32	ta_IN_9829387_20230117	Left	653.056	ஆமாம் Quality Wise நன்றாக இருக்கும் Collection னும் நன்றாக இருக்கும் Western அந்த மாதிரி எல்லாம் நன்றாக
188	complete	change	0.864	ta_IN_10103049_20230328	Right	529.056	ல எடுப்பாங்களா? அதா முக்கியமான விஷயம்.
189	complete	change	0.896	ta_IN_9829374_20230404	Left	48.448	நீங்கள் வந்து எங்களுடைய Website ல வந்து Check பண்ணிருக்கிங்க எங்களுடைய Health Policy பற்றி Policy Plan பற்றி ல Check பண்ணிருக்கிங்க எங்களுடைய Website ல அதுனால் தான் உங்களுடைய Number எங்களுக்கு கிடைத்தது அந்த Website ல இருந்து தான் எடுத்தோம்
190	incomplete	hold_intra	0.384	ta_IN_10102885_20230404	Right	493.76	okay mam okay mam சரி, okay உங்களுக்கு, ஒரு தடவை வந்து, customer service எல்லாம், okay நல்லா இருக்கு. but ஆனா, உங்களுக்கு data, speed மட்டும்தான், அந்த அளவு இல்லை. அது,
191	incomplete	hold_intra	0.352	ta_IN_9829545_20230112	Left	508.448	first பாத்தா தான hi சொல்லுவீங்க பாக்குறதே இல்ல அப்புறம் எப்படி போயி
192	complete	change	0.032	ta_IN_9829836_20230331	Left	1301.888	okay mam இது இந்த t-shirt நம்ம வேற color வாங்கு போது சாயம் ஏதாவது போகுங்களா?
193	complete	change	0.544	ta_IN_10103049_20230328	Right	261.568	இப்போ appointment கொஞ்சம் சொல்லுங்க mam appointment.
194	complete	change	0.672	ta_IN_10102571_20230331	Right	150.336	இல்ல so என் daughter க்கு வந்து window seat இருந்தா okay
195	incomplete	hold_intra	0.224	ta_IN_10246891_20230117	Right	1424.0	இல்ல இல்ல ஏய் நம்ப இருந்தா எடுத்துருப்பேன் எங்க ரூம் மேட் இருந்தா எடுத்துருபாங்க. பக்கத்துல இருக்குறவங்களுக்கு தெரிஞ்சி இருக்காது. அது யாரு dress னு
196	incomplete	hold_intra	0.256	ta_IN_9829541_20230117	Left	416.8	items லேர்ந்து எல்லாமே நம்ம வீட்டுக்கு தேவையான things எல்லாமே delivery பண்றாங்க. Food items இப்போ order பண்ணியா இப்போ one hour, two hour ல உங்க வீட்ல வந்து இருக்கும் delivery யுமே நமக்கு சீக்கிரம் பண்றாங்க. Delivery Delivery யா இருக்கட்டும் online shopping delivery யா இருக்கட்டும் என்ன delivery யும் சரி food delivery ங்கும் போது வந்து இப்போ உன் தம்பி நீ கேக்கறான்னு சொல்ற உன்
197	complete	change	1.376	ta_IN_10264659_20230328	Right	1442.08	அண்ண லா எதுவும் சொல்லாது
198	incomplete	hold_intra	0.32	ta_IN_10264720_20230331	Right	256.992	சங்கர் sir ட போட்டானா
