"idx","clip","model","conf","you","agree","your_call","pipeline","source","gap_s","reason","text","sid"
"86","086.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.384","Ends with a question tag expecting response.","அது உண்மை தான் சரி நம்ம போவோம் நான் உனக்கு வீட்டுல கேட்டுட்டு call பண்ணுறேன் நம்ம அப்பிடி","ta_IN_9829446_20230331_L_01732416"
"87","087.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","1.248","Ends with conditional suffix -na (kondu vandheengana)","sir. ம்ம். உங்களோட aadharPAN எது இருந்தாலும் okay sir. உங்களுட proof வேணும். அப்பறோம். உங்களுடைய photo copies ரெண்டு. உங்களோட proof xerox யும் ஓரு copy கொண்டு","ta_IN_10103083_20230331_L_00197984"
"89","089.wav","complete","0.98","complete","yes","","complete","change","0.448","Standalone affirmation 'Aamaa sir' is complete.","ஆமா sir ஆமா sir","ta_IN_10102571_20230331_L_00320416"
"91","091.wav","complete","0.95","complete","yes","","complete","change","0.832","Ends with a direct question expecting response.","sorry sir உங்க voice வந்து கேக்கல கொஞ்சம் sound ஆ பேசறீங்களா?","ta_IN_10102781_20230331_L_00382592"
"92","092.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.672","Ends on dangling connector 'vandhu'","கட்டலாம் Okay ஆஹ் அதுக்கு அடுத்து இன்னொரு benefit என்னவென்றால் நீங்கள் வந்து இப்பொழுது எங்களுடைய Policy Plan சேர்ந்து ஓர் இரண்டு மாதம் தான் ஆகிறது அதற்குள் உங்களுக்கு வந்து எதாவது Health Issue ஆகிறது உங்களுக்கு அதுக்கு காசு தேவைப்படுகிறது உங்களுடைய Medical இதுக்கு உங்களுக்கு காசு தேவைப்படுகிறது அதுக்கு நீங்கள் வந்து காசு தேடி அலைய","ta_IN_9829374_20230404_L_00419168"
"93","093.wav","complete","0.95","complete","yes","","complete","change","0.384","Ends with a complete statement about the situation.","அஹ் மூணு நாலு ஏரி இருந்ச்சுல அந்த நாலு ஏரி ல நம்ம விளையாடிட்டு இருந்தோம் ல அந்த நாலு ஏரியும் மழ வந்து full ஆ தண்ணி ரொம்பி கோடி போயிட்டு இருக்குடா கார்த்தி அந்தா மாதிரி இருக்குடா நிலைமை இப்போ","ta_IN_10255843_20230117_R_00283456"
"94","094.wav","complete","0.90","complete","yes","","incomplete","hold_intra","1.216","Finished nominal statement ending with adhellam.","ஆ இப்போ heart patient அ இருக்குறவுங்களுக்கு covid attack ஆகி இருக்கும். அது ரெம்ப பெரிய,","ta_IN_10264635_20230328_L_00619232"
"95","095.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.440","Ends with terminal finite verb.","அமுதா எண்ணெயில் பொரித்த உணவுகளை நீ எவ்வளவுக்கு எவ்வளவு தவிர்க்கிறாயோ அவ்வளவுக்கு அவ்வளவு உன்னோட அஹ் ஆயுள் வந்து உனக்கு கூடிகிட்டேதான் இருக்கு.","ta_IN_10255815_20230123_L_00823456"
"96","096.wav","complete","0.95","complete","yes","","complete","change","1.248","Ends with colloquial idiomatic closer neenga vera","க உப்மா கூட நல்லா இருக்கும் க்கா நீங்கவேற,","ta_IN_10264629_20230328_L_00144096"
"97","097.wav","complete","0.95","complete","yes","","complete","change","0.768","Ends with terminal finite verb 'ஆகும்'.","okay mam okay mam. நம்ம வந்து நம்ம loan process பத்தி உங்களுக்கு explain பண்ணலாமா? ஒரு ten minutes ஆகும்.","ta_IN_10103114_20230328_L_00096448"
"98","098.wav","complete","0.95","complete","yes","","complete","change","1.408","Ends with a complete finite verb statement.","okay sir இப்போ பணம் போடணும் sir","ta_IN_10103136_20230123_R_00117792"
"99","099.wav","complete","0.95","complete","yes","","complete","change","0.832","Ends with terminal finite verb sonnaanga.","ஹம் இனிமேல் part two வந்தா ஓடுதா என்னன்னு தெரியல ஆனா review லாம் நல்லாவே இல்ல youtube ல பார்த்ததுக்கு நல்லா இல்ல பொன்னியின் செல்வன் வந்து நல்லா இல்ல படம் தான் அவ்வளவு amount போட்டு எடுத்து இருக்காங்க சொல்லிட்டு.","ta_IN_10255855_20230117_R_01074688"
"100","100.wav","complete","1.00","complete","yes","","incomplete","hold_intra","0.288","Ends with a finished nominal statement.","so, ரொம்ப அதனால பாதிப்பாங்க. property காரத்தோட building க்கு அதிகமா தருவாங்க. property ன்னா கம்மிதான். ஆனா, இந்த","ta_IN_9829468_20230404_L_00974080"
"101","101.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","1.184","Speaker searching for words, ends mid-thought","அது தான் மச்சி எப்படி சொல்றது பழைய","ta_IN_10255829_20230117_L_00429280"
"103","103.wav","complete","0.98","complete","yes","","complete","change","0.256","Ends with a direct question.","ஏன் அவுங்கட்டெல்லாம் போய் மன்னிப்பு கேக்குறீங்க","ta_IN_10264720_20230331_L_00255520"
"104","104.wav","complete","0.95","complete","yes","","complete","change","0.352","Ends with a terminal finite verb.","அது உங்க Problem amount லாம் திருப்பி போட்டு விட முடியாது Sir நீங்க தான் Sir recharge பண்ணிருக்கீங்க.","ta_IN_10102694_20230117_L_00136672"
"105","105.wav","incomplete","1.00","incomplete","yes","","complete","change","1.088","Ends with context-setting clitic -la","புதினா அப்ப அவங்க சாமி கும்பிடுவாங்கள,","ta_IN_10264611_20230117_R_00953344"
"107","107.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.480","Ends with a complete conversational closer 'seri sir'.","அப்படிங்களா சேரி sir","ta_IN_10103171_20230117_L_00517952"
"108","108.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.576","Ends with temporal suffix and dangling word","அதே மாதிரி இவரு, ஆஹ் இதெல்லாம் இருக்கும்போதுயா அந்த போராட்டம் இருக்குல்ல","ta_IN_10219356_20230123_L_00742272"
"110","110.wav","complete","0.95","complete","yes","","complete","change","0.800","Ends with a direct question expecting response.","mam இப்ப bachelors தனியா family தனியா வச்சிருகிங்களா இல்ல நாங்க இப்ப bachelors apartment லயே families யாராவது இருக்காங்களா mam","ta_IN_9829744_20230117_L_00776800"
"111","111.wav","complete","0.95","complete","yes","","complete","change","0.288","Ends with a complete nominal predicate statement.","lift available twenty-four hours வும் available தான்","ta_IN_9829744_20230117_R_00444288"
"112","112.wav","complete","1.00","complete","yes","","incomplete","hold_intra","0.384","Ends with terminal finite verb check pannikkiren","உங்க nearby branch ஓட address மட்டும், எனக்கு send பண்ணுங்க, message ல. நான் one time","ta_IN_9829768_20230112_R_01638240"
"113","113.wav","incomplete","0.90","incomplete","yes","","incomplete","hold_intra","0.832","Ends on a trailing number with hesitation","பதினெட்டு லட்ச","ta_IN_10246900_20230328_R_00635520"
"114","114.wav","complete","0.98","complete","yes","","complete","change","0.160","Ends with a terminal finite verb request.","ஆ location share பண்ணிடுங்க.","ta_IN_10102828_20230328_R_00883360"
"115","115.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.640","Ends on filler and incomplete word 'innum'.","தம்பி? அ அவங்க இல்ல அவங்க இல் அது ஆட்டுக்கார","ta_IN_10264611_20230117_L_00525664"
"116","116.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.384","Ends with terminal finite verb irukku","இருக்கிறேனா அதான் mind ல ஒண்ணுமே ஓடல அதான் கொஞ்சம் voice கொஞ்சம் dull ஆ இருக்கிற மாதிரி இருக்கு. மத்தபடி ஒன்னும்","ta_IN_9829467_20230117_R_00072416"
"117","117.wav","complete","0.95","complete","yes","","complete","change","0.288","Ends with terminal finite verb 'pesunga'.","நல்லா கேக்குது ஆஹ் இப்படியே பேசுங்க இப்படியே பேசுங்க","ta_IN_10264720_20230331_L_01063328"
"118","118.wav","complete","0.95","complete","yes","","complete","change","0.288","Ends with a direct question 'சொல்லட்டுமா'","English அப்பறம் ஹிந்தி, ஒரு sports அப்பறம் இந்த world life அதுமாதிரிலாம் இந்த natural geography அதுலாம் ok but. இந்த english channel ங்கற name ல பாத்தீங்கனா தேவையில்லாத channel லாம் இருக்கு. அது உங்களுக்கு whatsapp ல send பண்ணிரட்டுமா உங்க number சொல்றீங்களா? இல்ல நா நேர்ல detail லா வந்தே சொல்லட்டுமா?","ta_IN_10102479_20230329_R_00305824"
"119","119.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.288","Ends on dangling possessive pronoun avaroda","ஆஹ் அந்த police க்கு வந்துட்டு அவரோட அஹ் அவர்","ta_IN_10255808_20230117_L_00899968"
"120","120.wav","complete","0.95","complete","yes","","complete","change","0.800","Ends with a direct question expecting response.","வேர என்ன சாப்ட்டு இருக்கிங்க","ta_IN_10264720_20230331_L_00136864"
"122","122.wav","complete","0.95","complete","yes","","complete","change","0.288","Ends with a terminal finite verb.","பழம்லாம் நீங்க என்னென்ன பழம் சொன்னீங்கன்னா? போற்றலாங்க madam அந்த என்னென்ன பழம் எது எதுக்குனு சொன்னீங்கன்னா போற்றலாங்க","ta_IN_9829759_20230117_L_00585024"
"123","123.wav","complete","0.95","complete","yes","","complete","change","0.864","Ends with question tag ok-ngala","correct டா இருக்குங்களா? அடுத்து பாத்தீங்கன்னா ஆஹ் sweet items பாத்தீங்கன்னா gulab jamun னும் ice cream ம் okay ங்களா?","ta_IN_10102828_20230328_L_00287776"
"125","125.wav","complete","0.95","complete","yes","","complete","change","0.608","Ends with a direct question expecting an answer.","Yes sir உங்களுக்கு clear ஆ இருக்கா sir நா பேசறது?","ta_IN_10103049_20230328_L_00207936"
"126","126.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.056","Ends with a question tag 'Okay-ngala?'","apps வந்து உங்களுக்கு குடுக்குறாங்க okay ங்களா? இது வந்து","ta_IN_10102707_20230112_R_00565728"
"127","127.wav","complete","1.00","complete","yes","","complete","change","0.640","Ends with terminal finite verb 'potturunga'.","Okay madam அது ஒரு கிலோ போற்றுங்க","ta_IN_9829759_20230117_R_00596928"
"128","128.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.352","Ends on dangling connector and incomplete phrase.","அதுனால கொஞ்சம் அது alter பண்ணனும் அப்படின்னு","ta_IN_10246900_20230328_R_01096480"
"129","129.wav","complete","0.95","complete","yes","","complete","change","0.736","Ends with terminal finite verb irukkalaam","தருவோம் அப்ப நீங்க notification பாத்துட்டு ஆ billing இப்ப வந்துரும் அப்படின்னு சொல்லிட்டே இருக்கலாம்.","ta_IN_9829525_20230117_L_00855264"
"132","132.wav","complete","0.95","complete","yes","","complete","change","0.480","Ends with conversational wrap-up okay madam","okay okay madam okay madam okay madam","ta_IN_10102781_20230331_R_00622368"
"133","133.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.120","Ends with a terminal finite verb statement.","ஆமா, போறேன். நீயும் வா தீபிகா மூணார் கூட்டிட்டு போறாங்களாம். அங்க சுத்தி","ta_IN_10219354_20230117_R_00508256"
"134","134.wav","complete","0.95","complete","yes","","complete","change","0.928","Ends on terminal finite verb call panren.","sir இப்போ வந்து என் பேர் வந்துட்டு ஆனந்தி sir. நா வந்து திருச்சில சுப்ரமணியபுரத்தில இருந்து call பண்றேன்","ta_IN_10103114_20230328_R_00040480"
"135","135.wav","complete","0.98","complete","yes","","complete","change","0.288","Standalone affirmation 'Aamaa' is complete.","ஆமா","ta_IN_9829502_20230117_L_01272160"
"136","136.wav","complete","0.95","complete","yes","","complete","change","0.832","Ends with a terminal finite verb.","தான் use பண்ணுவாங்க ந்ல்ல எண்ண கிடையாது நல்ல எண்ண நம்ம ஊத்தி சாப்ட அப்டி தான் பாமாயில் use பண்றதுனால ரொம்ப கால் வலி வரும் அது நால நான் குடுக்கவே மாட்டன்","ta_IN_10255807_20230331_L_00682208"
"137","137.wav","complete","0.95","complete","yes","","complete","change","0.896","Ends with a question tag expecting confirmation.","ஆ இல்ல sir ஆஹ் என்ன சொல்றது உங்க catering service நீங்க correct அ சொல்றீங்க. நான் என் பையனோட first function இல்லிங்களா நாங்க எங்களுடைய வயசுக்கு நாங்க பண்ற first function. So அந்த பயம் அந்த first time அந்த nervousness எல்லாமே இருக்கு இல்லிங்களா.","ta_IN_10102828_20230328_R_00137920"
"138","138.wav","complete","0.95","complete","yes","","complete","change","0.256","Ends with question tag expecting confirmation.","அப்டி எல்லான் இப்போதைக்கு நாங்க தான் full அ பார்த்துக்குறோம one month முடியட்டும் இடம் எப்டி salary எப்டி அப்டிங்கறட்து one month full அ தெரிஞ்சுக்கனும் இல்லயா அவங்களயும் கூப்டு வந்து உக்கார வச்சுட்டு ஒன்னும் பண்ண முடியாது லா","ta_IN_10264659_20230328_L_00496000"
"139","139.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","1.152","Ends with dependent dative suffix '-ukku'.","BE படிக்கும் போது","ta_IN_9829545_20230112_R_00464992"
"140","140.wav","complete","0.95","complete","yes","","complete","change","0.608","Ends with a direct question.","ஏன் அவங்க உங்கிட்ட பேசுறதில்ல?","ta_IN_10219354_20230117_R_00759456"
"141","141.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.760","Ends with terminal finite verb 'namburen'.","இதுல வந்து நெறையா விஷயம் திட்டம் போட்டு போய்கிட்டு இருக்கா அதுல இதுவும் ஒரு முக்கியமான விஷயம் இத sentiment ஆஹ் வந்து இத மூனா number seat டு வந்து எனக்கு ரொம்பவும்மே பிடிச்ச seat இதுல பயணம் பண்ணி போறதுல நா நெனச்ச ஒரு விஷயம் வந்து நல்ல படியா நடக்கும் அப்டின்னு ந நம்புறே","ta_IN_10102663_20230123_R_00476128"
"142","142.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.280","Ends with finite verb 'paappom'.","ஆஹ் காத்து அடிக்குற பக்கம்","ta_IN_10255843_20230117_L_00670272"
"143","143.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.224","Ends with a complete imperative statement.","சரி பா கோச்சிக்காதபா college படிக்குற","ta_IN_9829446_20230331_R_00580320"
"144","144.wav","complete","0.95","complete","yes","","complete","change","1.152","Ends with a terminal finite verb.","எழுநூறு ரூபாயில இருந்து எண்ணூறு ரூபாய்க்குள்ள charge பண்ணிட்டிருக்கேன்","ta_IN_10219354_20230117_R_00212192"
"145","145.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.320","Ends with a terminal finite verb.","ஆளு அவங்க அந்த இது மாறி business பண்ணாங்கள அவங்களோட ஆளு வந்துட்டு பொய்யா இவ கூடவே ஒரு பொம்ம ஒரு rubber வந்து வைத்துல வச்சிட்டு அந்த மாறி நடிச்சிட்டு இருப்பா. அப்றம் கண்டுபிடிச்சிட்டு சமந்தாவுக்கும் தெரிஞ்சிருச்சின்னு சொல்லி சமைந்தா வந்து அவன கொன்றுவா அவள. கொன்னுட்டு","ta_IN_10246891_20230117_R_00127744"
"146","146.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.800","Ends with temporal suffix -bodhu","வேற level நெனைக்கிறன் வேற level நு சொல்லும்போது","ta_IN_10264720_20230331_R_00920320"
"147","147.wav","complete","0.95","complete","yes","","complete","change","0.544","Ends with terminal finite verb thara mudiyum","okay mam அப்ப ஒன்னும் பிரச்சனை இல்ல eighteen கீழன்னா joint account தான் தர முடியும்.","ta_IN_10103136_20230123_L_00078752"
"148","148.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.928","Ends with an incomplete word.","அதாவுது சின்னச்சின்ன கடையில் இருந்து அதில் Use பண்ணுவார்களா அதில்","ta_IN_9829387_20230117_R_01276512"
"149","149.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.704","Ends with terminal finite verb varaadhu.","இல்ல இல்ல sir இது வந்து நல்ல speed இருக்கும் இது ஒன்னும் உங்கள்ளுக்கு வந்து எந்த issue யும் வராது நல்லா","ta_IN_10103171_20230117_L_00606400"
"150","150.wav","complete","0.98","complete","yes","","complete","change","1.312","Ends with a direct question.","Hi அக்கா, என்ன பண்றீங்க?","ta_IN_10255808_20230117_R_00002464"
"151","151.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.256","Ends with dangling modifier romba mid-thought","இருக்கு அப்புறம் சர்மம் வந்து நல்லவ நல்ல அழகா தெரிய அழகா இருக்கணும் போலிவுடயதாக இருக்கனும் ரொம்ப மென்மையானத இருக்கணும் ன்னு நெனச்சு கிட்டு","ta_IN_10255852_20230117_R_00817824"
"152","152.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.576","Ends on terminal finite verb 'podhum'.","போதும் okay நீங்க உங்களோட invoices","ta_IN_9829881_20230404_R_00409184"
"153","153.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.352","Ends with dangling connector adhanaala","இப்ப நம்ம லாம் அப்படிதான நா லாம் கொஞ்சம் அப்படிதான","ta_IN_10264611_20230117_L_01701216"
"154","154.wav","complete","0.90","complete","yes","","complete","change","0.128","Ends with a complete nominal predicate statement.","எல்லாம் தட்டுல இருக்குற shawarma உனக்கு எல்லாம் best easy.","ta_IN_10246891_20230117_L_01052352"
"156","156.wav","complete","0.95","complete","yes","","complete","change","0.416","Ends with a direct question tag mangava","பச்ச மாங்கான்னா, குண்டு மாங்காவா கிளி மூக்கு மாங்காவா?","ta_IN_9829759_20230117_R_00314816"
"157","157.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.480","Ends on dangling English verb 'pick up'","நீங்க இங்கே இருந்து நீங்க book பண்ணிரனும் sir. prior ஆவே book பண்ணிட்டு, full amount உமே இப்ப நீங்க pay பண்ற மாதிரிதான் இருக்கும். இப்படி பண்ணிட்டு, நீங்க போகும்போது, வ~ resort ல வந்து சீக்கிரம்","ta_IN_10102978_20230112_L_00563584"
"158","158.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.224","Ends mid-sentence with incomplete thought.","percentage வெச்சிக்கோ ஆஹ் அப்புடிகமொடு நீ வாங்கிக்க தொகை வந்து ஒரு அஞ்சி லட்சம் அப்புடிகமொடு அதுக்காக வந்து amount ஆஹ் வந்து ஆஹ் for example எந்தவித அஞ்சாயிரம் கேட்டரான்னு fix பண்றே எந்த ஒரு bank குமே நீங்க","ta_IN_9829665_20230404_R_00662592"
"159","159.wav","incomplete","0.98","incomplete","yes","","incomplete","hold_intra","0.320","Ends on dangling pronoun 'namma' mid-thought.","நெறையா இருந்தது எல்லருடையும் சேர்ந்து பேசுற இவர்கள் எல்லாரோடையும் சேர்ந்து மகிழ்ச்சியாக இருப்பது இந்த முன்னாடி திண்ணை அப்டின்னு சொல்லுவாங்க பாத்தேங்களா முன்னாடி கொஞ்சம் இடம் இருக்கும் அந்த எடத்துல எல்லாரும் பக்கது அக்கத்து வீடுகள் எல்லாம் ஊர்கள் ல உள்ள மக்கள் எல்லாம் ஒண்ணா சேந்து பேசுவாங்க மகிழ்ச்சியா இருப்பாங்க அந்த பழக்க வழக்கம் எல்லாம் இப்ப நெறையாவே மாறிருச்சு அந்த மாறியான பழக்க வழக்கம் இருக்கும் போது எல்லாமே மகிழ்ச்சி தானா இல்லையா நம்ம கொஞ்சம் ஓய்வாக இருக்கும்","ta_IN_10255852_20230117_L_00386816"
"160","160.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.928","Ends with terminal finite verb irukkum","வெளில பாக்குறவங்களுக்கு ரெண்டு பேரும் பாக்குறதில்லங்கற மாறி இருக்கும். நம்ம என்ன","ta_IN_10264611_20230117_L_01073728"
"161","161.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.416","Ends with a terminal finite verb.","இதை வந்து முப்பது வயசுக்கு மேலே உள்ளவங்களுக்குத்தான் பெரும்பாலும் நாங்க வந்து provide பண்றோம். ஏன்னா, young age ல உங்களுக்கு வந்து நாங்க இதை வந்து provide பண்றது இல்லை. ஏன்னா, young age ல உங்களுக்கு வந்து ஒரு young age லயே அவங்களுக்கு வந்து, அவங்க money ய வந்து கைக்கு கொடுக்கணுங்கிறதுக்காண்டி அவங்களை பெரும்பாலும் நாங்க வந்து term insurance ஆல தான் அவங்க வந்து invest பண்ணணும்னு சொல்ல, சொல்றோம்.","ta_IN_9829768_20230112_L_00755200"
"162","162.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","1.536","Ends on dangling connector munnaadi","பாருங்க. Okay வா இருந்துச்சுன்னா விட்ருங்க, அப்படி இல்லை, அப்படின்னாக்கா வந்துட்டு, அ, நீங்க வந்துட்டு, lunch எடுத்திட்டு, சாப்பிடறதுக்கு முன்னாடி, one தரவ?","ta_IN_10102714_20230112_L_00527808"
"163","163.wav","incomplete","0.98","incomplete","yes","","incomplete","hold_intra","0.800","Ends on dangling connector 'appa naan'","okay mam okay. அப்போ நான். prepaid","ta_IN_10102739_20230329_R_00671200"
"164","164.wav","complete","0.95","complete","yes","","complete","change","0.384","Ends with a direct question to listener.","அப்போ நீங்களும் பாப்பீங்களா mam","ta_IN_10102479_20230329_R_00205344"
"165","165.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.448","Ends with terminal finite verb.","பண்ணுவாங்கன்னா, உம் காசெல்லாம் வாங்கிட்டு, அஹ் final கட்டத்துல காசு, returns வர நேரத்துல வந்து, ஆளு காணாம போயிடுறாங்க.","ta_IN_9829768_20230112_L_01307872"
"166","166.wav","complete","0.90","complete","yes","","incomplete","hold_intra","0.864","Ends with a complete colloquial statement.","படம் நானும் என் தங்கச்சியும் download பண்ணி பார்த்துட்டு இருந்தோம் பேய் படம் நிறையா","ta_IN_10246900_20230328_R_01464128"
"167","167.wav","complete","0.90","complete","yes","","incomplete","hold_intra","0.800","Standalone acknowledgment indicating turn completion.","okay okay okay ஆஹ்","ta_IN_10219356_20230123_R_00212832"
"168","168.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.256","Ends with a complete statement 'problem illa'","bargain பண்றதுனால எங்களுக்கு ஒன்னும் problem இல்ல mam. கொறைக்குறதுனா கொறைச்சுக்கலாம் problem இல்ல. But எங்ளோட","ta_IN_10102828_20230328_L_00818752"
"169","169.wav","incomplete","0.00","incomplete","yes","","incomplete","hold_intra","0.352","","சேரி சேரி நா நா","ta_IN_10246900_20230328_R_01489504"
"170","170.wav","complete","0.90","complete","yes","","complete","change","1.152","Ends with a terminal finite verb.","call பன்ணி சொன்னா இந்த மாதிரி marriage னு எப்போன்னு சொல்லல எனக்கு அவ சொல்லல அவளோட friend சொன்னா அவளா சொல்லட்டும் சொல்ற வர wait பண்ணுவோம்","ta_IN_10264659_20230328_R_01641440"
"171","171.wav","incomplete","0.98","incomplete","yes","","incomplete","hold_intra","0.256","Ends on hypothetical setter vachukonga","இருக்குது ஆஹ் but nighties ல நீங்க for example ந ஒரு சொல்லறேன் கேட்டுக்கோங்க இப்போ நீங்க double XL type எடுக்குறீங்க வெச்சுக்கோங்க double XL type ந","ta_IN_9829411_20230404_R_00763744"
"172","172.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.992","Standalone affirmation with falling pitch.","ஆஹ் சேரி சேரி","ta_IN_10246900_20230328_L_00974976"
"173","173.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.120","Ends with colloquial idiomatic closer naanga kaali","எந்திரிச்சிருவோம் அப்படியே","ta_IN_10264611_20230117_R_00806240"
"174","174.wav","complete","0.95","complete","yes","","complete","change","0.640","Ends with a direct question expecting response.","ம் நாத சொல்லுக ம என்ன வேணும்","ta_IN_9829878_20230404_R_00007552"
"175","175.wav","incomplete","0.90","incomplete","yes","","complete","change","0.928","Ends mid-thought with trailing filler 'vandhu'.","எவ்வளவு RPM வருதுங்க இதுல நெறையா one eighty, two hundredனு வந்திருக்கும்.","ta_IN_9829706_20230404_R_00295392"
"176","176.wav","complete","0.95","complete","yes","","complete","change","0.736","Ends with direct question expecting an answer","mam so boy baby இல்ல mam அவங்களுக்கு branded t-shirt ல பார்க்குறீங்களா mam so இந்த மாதிரி இந்த மாதிரி normal user க்கு மாதிரி பார்க்குறீங்களா? இல்ல outer use க்கு பார்க்குறீங்களா? இல்ல daily wears க்கு பார்க்குறீங்களா?","ta_IN_9829836_20230331_R_00920000"
"177","177.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.960","Ends with a direct question expecting confirmation.","okay வா sir உங்களுக்கு","ta_IN_10102927_20230328_L_00666784"
"178","178.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.416","Ends with a complete negative predicate 'kedayadhu'.","claim பண்ணிக்க முடியும் ஆஹ் five lakhs cover போடுறீங்கனா நீங்க கட்ட வேண்டிய amount five lakhs லான் கிடையாது நீங்க","ta_IN_10264671_20230404_L_00274240"
"179","179.wav","complete","0.95","complete","yes","","complete","change","0.128","Ends with tag question expecting confirmation.","உம் அதான் குழந்தைகள் நாளே நம்மள அப்படியே observe பண்ணி பண்றது தானே.","ta_IN_10264642_20230117_R_00339456"
"180","180.wav","complete","0.98","complete","yes","","complete","change","0.448","Ends with a direct question 'undaa?'","அஹ் அப்பறம் function லாம் எதாவது உண்டா?","ta_IN_9829502_20230117_R_00504160"
"181","181.wav","complete","0.90","complete","yes","","complete","change","0.480","Ends with a complete statement of fact.","ஆ Okay sir. நாங்க பண்றது வந்து first birthday என் பையனோட first birthday. so, next week twenty eighth வச்சிருக்கோம் evening.","ta_IN_10102828_20230328_R_00087776"
"182","182.wav","incomplete","0.98","incomplete","yes","","incomplete","hold_intra","0.288","Ends with trailing filler 'vandhu' mid-thought.","கேள்விப்பட்டிருப்பீங்க. ஆஹ் எந்த மாதிரி insurance வந்து, நீங்க","ta_IN_9829768_20230112_L_00123616"
"183","183.wav","complete","0.95","complete","yes","","complete","change","0.672","Ends with terminal finite verb 'sollunga'.","ஆஹ் சரி இவ்வளவு தூரம் சொல்லுகிறீர்கள் சரி Okay நீங்கள் சொல்லுங்கள்","ta_IN_9829374_20230404_R_00141664"
"185","185.wav","complete","0.90","complete","yes","","complete","change","1.248","Ends with a complete finite verb statement.","பாத்துட்டு இவரும் உடுத்தியிருக்காப்புடி மத்தவங்களையும், ரொம்ப ஒரு ஒரு அஹ் உடுத்துங்க அப்படின்னு சொல்லி வலியுறுத்திருக்காப்டி.","ta_IN_10219356_20230123_R_00164256"
"186","186.wav","complete","0.95","complete","yes","","complete","change","0.064","Ends with a direct question expecting an answer.","இப்போ. office இந்த மாதிரி maintain பண்ணறவங்க எல்லாம் postpaid வச்சுகிட்டா நல்லதா mam?","ta_IN_10102739_20230329_R_00607072"
"187","187.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.320","Ends with terminal finite verb irundhadhu","ஆமாம் Quality Wise நன்றாக இருக்கும் Collection னும் நன்றாக இருக்கும் Western அந்த மாதிரி எல்லாம் நன்றாக","ta_IN_9829387_20230117_L_00653056"
"188","188.wav","complete","0.90","complete","yes","","complete","change","0.864","Finished nominal statement expressing main query.","ல எடுப்பாங்களா? அதா முக்கியமான விஷயம்.","ta_IN_10103049_20230328_R_00529056"
"189","189.wav","complete","0.95","complete","yes","","complete","change","0.896","Ends with terminal finite verb எடுத்தோம்.","நீங்கள் வந்து எங்களுடைய Website ல வந்து Check பண்ணிருக்கிங்க எங்களுடைய Health Policy பற்றி Policy Plan பற்றி ல Check பண்ணிருக்கிங்க எங்களுடைய Website ல அதுனால் தான் உங்களுடைய Number எங்களுக்கு கிடைத்தது அந்த Website ல இருந்து தான் எடுத்தோம்","ta_IN_9829374_20230404_L_00048448"
"190","190.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.384","Ends with a complete negative statement.","okay mam okay mam சரி, okay உங்களுக்கு, ஒரு தடவை வந்து, customer service எல்லாம், okay நல்லா இருக்கு. but ஆனா, உங்களுக்கு data, speed மட்டும்தான், அந்த அளவு இல்லை. அது,","ta_IN_10102885_20230404_R_00493760"
